,node,dataset,budgets,solving_time
409,9,cora_ml,"(5, 3)",7.2862021923065186
410,10,cora_ml,"(5, 3)",1.4022564888000488
411,11,cora_ml,"(5, 3)",10.746227025985718
412,12,cora_ml,"(5, 3)",1.4641015529632568
413,13,cora_ml,"(5, 3)",4.7255332469940186
414,14,cora_ml,"(5, 3)",114.92699003219604
415,15,cora_ml,"(5, 3)",16.96509552001953
416,16,cora_ml,"(5, 3)",44.976855754852295
417,17,cora_ml,"(5, 3)",2712.4402124881744
418,18,cora_ml,"(5, 3)",0.20821905136108398
419,19,cora_ml,"(5, 3)",0.9840548038482666
420,20,cora_ml,"(5, 3)",5.962712049484253
421,21,cora_ml,"(5, 3)",0.38296031951904297
422,22,cora_ml,"(5, 3)",0.7380099296569824
423,23,cora_ml,"(5, 3)",4.502408981323242
424,24,cora_ml,"(5, 3)",2.6315996646881104
425,25,cora_ml,"(5, 3)",351.70716309547424
426,26,cora_ml,"(5, 3)",31.94944477081299
427,27,cora_ml,"(5, 3)",294.15931010246277
428,28,cora_ml,"(5, 3)",39.15000605583191
429,29,cora_ml,"(5, 3)",92.12887692451477
430,30,cora_ml,"(5, 3)",0.7853524684906006
431,31,cora_ml,"(5, 3)",14.548285484313965
432,32,cora_ml,"(5, 3)",21.760242700576782
433,33,cora_ml,"(5, 3)",359.6501657962799
434,34,cora_ml,"(5, 3)",1933.7501211166382
435,35,cora_ml,"(5, 3)",223.2417814731598
436,36,cora_ml,"(5, 3)",1189.4806220531464
437,37,cora_ml,"(5, 3)",21.346875190734863
438,38,cora_ml,"(5, 3)",88.12624716758728
439,39,cora_ml,"(5, 3)",1.2995707988739014
440,40,cora_ml,"(5, 3)",1.2702150344848633
441,41,cora_ml,"(5, 3)",434.7441895008087
442,42,cora_ml,"(5, 3)",2183.209703683853
443,43,cora_ml,"(5, 3)",143.92588472366333
444,44,cora_ml,"(5, 3)",104.81013202667236
445,45,cora_ml,"(5, 3)",491.54982137680054
446,46,cora_ml,"(5, 3)",39.11881875991821
447,47,cora_ml,"(5, 3)",617.51842045784
448,48,cora_ml,"(5, 3)",537.800243139267
449,49,cora_ml,"(5, 3)",13.202893733978271
450,50,cora_ml,"(5, 3)",133.4940013885498
451,51,cora_ml,"(5, 3)",81.29004287719727
452,52,cora_ml,"(5, 3)",33.3525276184082
453,53,cora_ml,"(5, 3)",1929.3254933357239
454,54,cora_ml,"(5, 3)",449.20520782470703
455,55,cora_ml,"(5, 3)",115.72437739372253
456,56,cora_ml,"(5, 3)",775.3846423625946
457,57,cora_ml,"(5, 3)",29.495936393737793
458,58,cora_ml,"(5, 3)",37.39777112007141
459,59,cora_ml,"(5, 3)",1641.2289564609528
460,60,cora_ml,"(5, 3)",44.247453689575195
461,61,cora_ml,"(5, 3)",14.451906681060791
462,62,cora_ml,"(5, 3)",122.23616242408752
463,63,cora_ml,"(5, 3)",1589.4906606674194
464,64,cora_ml,"(5, 3)",403.9703166484833
465,65,cora_ml,"(5, 3)",2313.250952243805
466,66,cora_ml,"(5, 3)",1913.739236831665
467,67,cora_ml,"(5, 3)",23.789777040481567
468,68,cora_ml,"(5, 3)",17.400280475616455
469,69,cora_ml,"(5, 3)",117.62474155426025
470,70,cora_ml,"(5, 3)",159.3042938709259
471,71,cora_ml,"(5, 3)",9.457947492599487
472,72,cora_ml,"(5, 3)",893.7238781452179
473,73,cora_ml,"(5, 3)",1962.549424648285
474,74,cora_ml,"(5, 3)",2.0689291954040527
